tick,prey_population,predator_population,resource_count,avg_prey_speed,avg_predator_speed,avg_prey_vision,avg_predator_vision,births_total,deaths_total,predation_total,prey_extinct,predators_extinct
1,61,22,124,2.348503486531316,1.9308667485718727,105.17530117715108,108.21387511435991,19,0,0,0,0
2,63,22,125,2.342714898345222,1.9308667485718727,105.02024064998113,108.21387511435991,21,0,0,0,0
3,63,22,125,2.342714898345222,1.9308667485718727,105.02024064998113,108.21387511435991,21,0,0,0,0
4,63,22,124,2.342714898345222,1.9308667485718727,105.02024064998113,108.21387511435991,21,0,0,0,0
5,63,22,123,2.342714898345222,1.9308667485718727,105.02024064998113,108.21387511435991,21,0,0,0,0
6,63,22,123,2.342714898345222,1.9308667485718727,105.02024064998113,108.21387511435991,21,0,0,0,0
7,63,22,122,2.342714898345222,1.9308667485718727,105.02024064998113,108.21387511435991,21,0,0,0,0
8,63,22,122,2.342714898345222,1.9308667485718727,105.02024064998113,108.21387511435991,21,0,0,0,0
9,63,22,119,2.342714898345222,1.9308667485718727,105.02024064998113,108.21387511435991,21,0,0,0,0
10,63,22,118,2.342714898345222,1.9308667485718727,105.02024064998113,108.21387511435991,21,0,0,0,0
11,63,22,116,2.342714898345222,1.9308667485718727,105.02024064998113,108.21387511435991,21,0,0,0,0
12,64,22,116,2.337870380837239,1.9308667485718727,105.63575797371577,108.21387511435991,22,0,0,0,0
13,64,22,116,2.337870380837239,1.9308667485718727,105.63575797371577,108.21387511435991,22,0,0,0,0
14,64,22,114,2.337870380837239,1.9308667485718727,105.63575797371577,108.21387511435991,22,0,0,0,0
15,64,22,114,2.337870380837239,1.9308667485718727,105.63575797371577,108.21387511435991,22,0,0,0,0
16,64,22,114,2.337870380837239,1.9308667485718727,105.63575797371577,108.21387511435991,22,0,0,0,0
17,64,22,114,2.337870380837239,1.9308667485718727,105.63575797371577,108.21387511435991,22,0,0,0,0
18,64,22,115,2.337870380837239,1.9308667485718727,105.63575797371577,108.21387511435991,22,0,0,0,0
19,64,22,114,2.337870380837239,1.9308667485718727,105.63575797371577,108.21387511435991,22,0,0,0,0
20,64,22,114,2.3544189473068635,1.9308667485718727,104.5300301754921,108.21387511435991,23,1,1,0,0
21,64,22,113,2.3544189473068635,1.9308667485718727,104.5300301754921,108.21387511435991,23,1,1,0,0
22,64,23,110,2.3544189473068635,1.9258539311886806,104.5300301754921,108.12258709188082,24,1,1,0,0
23,64,23,110,2.3544189473068635,1.9258539311886806,104.5300301754921,108.12258709188082,24,1,1,0,0
24,64,23,110,2.3544189473068635,1.9258539311886806,104.5300301754921,108.12258709188082,24,1,1,0,0
25,64,23,110,2.3544189473068635,1.9258539311886806,104.5300301754921,108.12258709188082,24,1,1,0,0
26,64,23,110,2.3544189473068635,1.9258539311886806,104.5300301754921,108.12258709188082,24,1,1,0,0
27,64,23,110,2.3544189473068635,1.9258539311886806,104.5300301754921,108.12258709188082,24,1,1,0,0
28,65,23,110,2.3582224226415502,1.9258539311886806,104.37947973576131,108.12258709188082,25,1,1,0,0
29,65,23,110,2.3582224226415502,1.9258539311886806,104.37947973576131,108.12258709188082,25,1,1,0,0
30,65,23,110,2.3582224226415502,1.9258539311886806,104.37947973576131,108.12258709188082,25,1,1,0,0
31,65,23,110,2.3582224226415502,1.9258539311886806,104.37947973576131,108.12258709188082,25,1,1,0,0
32,65,23,110,2.3582224226415502,1.9258539311886806,104.37947973576131,108.12258709188082,25,1,1,0,0
33,65,23,110,2.3582224226415502,1.9258539311886806,104.37947973576131,108.12258709188082,25,1,1,0,0
34,66,23,108,2.365572530085418,1.9258539311886806,104.35102911417607,108.12258709188082,26,1,1,0,0
35,66,23,108,2.365572530085418,1.9258539311886806,104.35102911417607,108.12258709188082,26,1,1,0,0
36,66,23,109,2.365572530085418,1.9258539311886806,104.35102911417607,108.12258709188082,26,1,1,0,0
37,66,23,109,2.365572530085418,1.9258539311886806,104.35102911417607,108.12258709188082,26,1,1,0,0
38,66,23,107,2.365572530085418,1.9258539311886806,104.35102911417607,108.12258709188082,26,1,1,0,0
39,67,24,105,2.3726396167198898,1.885829196364293,104.09504254144919,108.48783389504318,28,1,1,0,0
40,68,24,105,2.364905325346059,1.885829196364293,104.2165536821055,108.48783389504318,29,1,1,0,0
41,68,24,106,2.364905325346059,1.885829196364293,104.2165536821055,108.48783389504318,29,1,1,0,0
42,68,24,105,2.364905325346059,1.885829196364293,104.2165536821055,108.48783389504318,29,1,1,0,0
43,67,24,105,2.37923422331092,1.885829196364293,103.85539026400237,108.48783389504318,29,2,2,0,0
44,67,24,106,2.37923422331092,1.885829196364293,103.85539026400237,108.48783389504318,29,2,2,0,0
45,67,24,106,2.37923422331092,1.885829196364293,103.85539026400237,108.48783389504318,29,2,2,0,0
46,67,24,107,2.37923422331092,1.885829196364293,103.85539026400237,108.48783389504318,29,2,2,0,0
47,67,24,107,2.37923422331092,1.885829196364293,103.85539026400237,108.48783389504318,29,2,2,0,0
48,67,24,106,2.37923422331092,1.885829196364293,103.85539026400237,108.48783389504318,29,2,2,0,0
49,67,24,106,2.37923422331092,1.885829196364293,103.85539026400237,108.48783389504318,29,2,2,0,0
50,68,24,106,2.3866740310152625,1.885829196364293,104.26045606014442,108.48783389504318,30,2,2,0,0
51,68,24,107,2.3866740310152625,1.885829196364293,104.26045606014442,108.48783389504318,30,2,2,0,0
52,68,24,107,2.3866740310152625,1.885829196364293,104.26045606014442,108.48783389504318,30,2,2,0,0
53,69,24,108,2.3889467175872325,1.885829196364293,104.56831626490855,108.48783389504318,31,2,2,0,0
54,69,24,108,2.3889467175872325,1.885829196364293,104.56831626490855,108.48783389504318,31,2,2,0,0
55,69,24,109,2.3889467175872325,1.885829196364293,104.56831626490855,108.48783389504318,31,2,2,0,0
56,69,24,110,2.3889467175872325,1.885829196364293,104.56831626490855,108.48783389504318,31,2,2,0,0
57,69,24,110,2.3889467175872325,1.885829196364293,104.56831626490855,108.48783389504318,31,2,2,0,0
58,69,24,108,2.3889467175872325,1.885829196364293,104.56831626490855,108.48783389504318,31,2,2,0,0
59,70,24,107,2.3756912890142847,1.885829196364293,104.50670367747725,108.48783389504318,32,2,2,0,0
60,69,24,107,2.3715458250832464,1.885829196364293,104.13012093819562,108.48783389504318,32,3,3,0,0
61,68,26,107,2.3726915440584246,1.8938552810227898,103.61770962981022,106.84307953331023,34,4,4,0,0
62,68,27,108,2.3726915440584246,1.8861102681158404,103.61770962981022,106.99862978869314,35,4,4,0,0
63,68,27,108,2.3726915440584246,1.8861102681158404,103.61770962981022,106.99862978869314,35,4,4,0,0
64,68,27,108,2.3726915440584246,1.8861102681158404,103.61770962981022,106.99862978869314,35,4,4,0,0
65,68,27,109,2.3726915440584246,1.8861102681158404,103.61770962981022,106.99862978869314,35,4,4,0,0
66,68,27,110,2.3726915440584246,1.8861102681158404,103.61770962981022,106.99862978869314,35,4,4,0,0
67,68,27,110,2.3726915440584246,1.8861102681158404,103.61770962981022,106.99862978869314,35,4,4,0,0
68,68,27,109,2.3726915440584246,1.8861102681158404,103.61770962981022,106.99862978869314,35,4,4,0,0
69,68,27,108,2.3726915440584246,1.8861102681158404,103.61770962981022,106.99862978869314,35,4,4,0,0
70,68,27,108,2.3726915440584246,1.8861102681158404,103.61770962981022,106.99862978869314,35,4,4,0,0
71,68,27,108,2.3726915440584246,1.8861102681158404,103.61770962981022,106.99862978869314,35,4,4,0,0
72,68,27,109,2.3726915440584246,1.8861102681158404,103.61770962981022,106.99862978869314,35,4,4,0,0
73,68,27,109,2.3726915440584246,1.8861102681158404,103.61770962981022,106.99862978869314,35,4,4,0,0
74,68,27,109,2.3726915440584246,1.8861102681158404,103.61770962981022,106.99862978869314,35,4,4,0,0
75,68,27,109,2.3726915440584246,1.8861102681158404,103.61770962981022,106.99862978869314,35,4,4,0,0
76,68,27,109,2.3726915440584246,1.8861102681158404,103.61770962981022,106.99862978869314,35,4,4,0,0
77,68,28,107,2.3726915440584246,1.860687304822483,103.61770962981022,107.7461001572459,36,4,4,0,0
78,68,28,107,2.3726915440584246,1.860687304822483,103.61770962981022,107.7461001572459,36,4,4,0,0
79,75,28,107,2.371858289563347,1.860687304822483,102.51160263182564,107.7461001572459,43,4,4,0,0
80,76,28,107,2.378770393091184,1.860687304822483,102.26812250421897,107.7461001572459,44,4,4,0,0
81,77,28,107,2.376921550122753,1.860687304822483,102.44028130817256,107.7461001572459,45,4,4,0,0
82,77,28,107,2.376921550122753,1.860687304822483,102.44028130817256,107.7461001572459,45,4,4,0,0
83,77,28,107,2.376921550122753,1.860687304822483,102.44028130817256,107.7461001572459,45,4,4,0,0
84,77,28,107,2.376921550122753,1.860687304822483,102.44028130817256,107.7461001572459,45,4,4,0,0
85,78,28,108,2.3819256464796514,1.860687304822483,102.70578066857352,107.7461001572459,46,4,4,0,0
86,78,28,107,2.3819256464796514,1.860687304822483,102.70578066857352,107.7461001572459,46,4,4,0,0
87,79,28,107,2.3841084458316386,1.860687304822483,102.27176678957812,107.7461001572459,47,4,4,0,0
88,79,28,107,2.3841084458316386,1.860687304822483,102.27176678957812,107.7461001572459,47,4,4,0,0
89,79,28,106,2.3841084458316386,1.860687304822483,102.27176678957812,107.7461001572459,47,4,4,0,0
90,79,28,106,2.3841084458316386,1.860687304822483,102.27176678957812,107.7461001572459,47,4,4,0,0
91,79,28,107,2.3841084458316386,1.860687304822483,102.27176678957812,107.7461001572459,47,4,4,0,0
92,79,28,108,2.3841084458316386,1.860687304822483,102.27176678957812,107.7461001572459,47,4,4,0,0
93,79,28,108,2.3841084458316386,1.860687304822483,102.27176678957812,107.7461001572459,47,4,4,0,0
94,79,28,108,2.3841084458316386,1.860687304822483,102.27176678957812,107.7461001572459,47,4,4,0,0
95,78,28,108,2.3911590831620098,1.860687304822483,102.77739966182074,107.7461001572459,47,5,5,0,0
96,78,28,108,2.3911590831620098,1.860687304822483,102.77739966182074,107.7461001572459,47,5,5,0,0
97,78,28,107,2.3911590831620098,1.860687304822483,102.77739966182074,107.7461001572459,47,5,5,0,0
98,79,28,107,2.3933754073168085,1.860687304822483,102.31445035986668,107.7461001572459,48,5,5,0,0
99,79,28,106,2.3933754073168085,1.860687304822483,102.31445035986668,107.7461001572459,48,5,5,0,0
100,80,28,106,2.3798605506864385,1.860687304822483,102.5454767741251,107.7461001572459,49,5,5,0,0
101,80,28,105,2.3798605506864385,1.860687304822483,102.5454767741251,107.7461001572459,49,5,5,0,0
102,81,28,106,2.382753004039189,1.860687304822483,102.23950153413617,107.7461001572459,50,5,5,0,0
103,81,28,106,2.382753004039189,1.860687304822483,102.23950153413617,107.7461001572459,50,5,5,0,0
104,81,28,105,2.382753004039189,1.860687304822483,102.23950153413617,107.7461001572459,50,5,5,0,0
105,81,28,105,2.382753004039189,1.860687304822483,102.23950153413617,107.7461001572459,50,5,5,0,0
106,81,28,104,2.382753004039189,1.860687304822483,102.23950153413617,107.7461001572459,50,5,5,0,0
107,81,28,104,2.382753004039189,1.860687304822483,102.23950153413617,107.7461001572459,50,5,5,0,0
108,81,28,104,2.382753004039189,1.860687304822483,102.23950153413617,107.7461001572459,50,5,5,0,0
109,81,28,102,2.382753004039189,1.860687304822483,102.23950153413617,107.7461001572459,50,5,5,0,0
110,81,28,102,2.382753004039189,1.860687304822483,102.23950153413617,107.7461001572459,50,5,5,0,0
111,81,28,103,2.382753004039189,1.860687304822483,102.23950153413617,107.7461001572459,50,5,5,0,0
112,82,28,102,2.3883697907452577,1.860687304822483,102.24269954848981,107.7461001572459,51,5,5,0,0
113,82,28,102,2.3883697907452577,1.860687304822483,102.24269954848981,107.7461001572459,51,5,5,0,0
114,82,28,102,2.3883697907452577,1.860687304822483,102.24269954848981,107.7461001572459,51,5,5,0,0
115,82,28,102,2.3883697907452577,1.860687304822483,102.24269954848981,107.7461001572459,51,5,5,0,0
116,82,28,102,2.3883697907452577,1.860687304822483,102.24269954848981,107.7461001572459,51,5,5,0,0
117,82,28,101,2.3883697907452577,1.860687304822483,102.24269954848981,107.7461001572459,51,5,5,0,0
118,82,28,102,2.3883697907452577,1.860687304822483,102.24269954848981,107.7461001572459,51,5,5,0,0
119,82,28,101,2.3883697907452577,1.860687304822483,102.24269954848981,107.7461001572459,51,5,5,0,0
120,82,28,101,2.3883697907452577,1.860687304822483,102.24269954848981,107.7461001572459,51,5,5,0,0
