tick,prey_population,predator_population,resource_count,avg_prey_speed,avg_predator_speed,avg_prey_vision,avg_predator_vision,births_total,deaths_total,predation_total,prey_extinct,predators_extinct
1,53,21,126,2.261495594790186,2.233312054232271,95.78229009917354,112.73842445609299,10,0,0,0,0
2,53,21,125,2.261495594790186,2.233312054232271,95.78229009917354,112.73842445609299,10,0,0,0,0
3,53,21,125,2.261495594790186,2.233312054232271,95.78229009917354,112.73842445609299,10,0,0,0,0
4,53,21,125,2.261495594790186,2.233312054232271,95.78229009917354,112.73842445609299,10,0,0,0,0
5,53,21,125,2.261495594790186,2.233312054232271,95.78229009917354,112.73842445609299,10,0,0,0,0
6,53,21,125,2.261495594790186,2.233312054232271,95.78229009917354,112.73842445609299,10,0,0,0,0
7,53,21,125,2.261495594790186,2.233312054232271,95.78229009917354,112.73842445609299,10,0,0,0,0
8,54,21,125,2.2490823305993874,2.233312054232271,95.36198783031772,112.73842445609299,11,0,0,0,0
9,54,21,124,2.2490823305993874,2.233312054232271,95.36198783031772,112.73842445609299,11,0,0,0,0
10,54,21,124,2.2490823305993874,2.233312054232271,95.36198783031772,112.73842445609299,11,0,0,0,0
11,54,21,124,2.2490823305993874,2.233312054232271,95.36198783031772,112.73842445609299,11,0,0,0,0
12,54,21,125,2.2490823305993874,2.233312054232271,95.36198783031772,112.73842445609299,11,0,0,0,0
13,55,21,124,2.241817526674796,2.233312054232271,95.12714931667692,112.73842445609299,12,0,0,0,0
14,55,21,123,2.241817526674796,2.233312054232271,95.12714931667692,112.73842445609299,12,0,0,0,0
15,55,21,123,2.241817526674796,2.233312054232271,95.12714931667692,112.73842445609299,12,0,0,0,0
16,55,21,124,2.241817526674796,2.233312054232271,95.12714931667692,112.73842445609299,12,0,0,0,0
17,55,21,125,2.241817526674796,2.233312054232271,95.12714931667692,112.73842445609299,12,0,0,0,0
18,55,21,126,2.241817526674796,2.233312054232271,95.12714931667692,112.73842445609299,12,0,0,0,0
19,55,21,126,2.241817526674796,2.233312054232271,95.12714931667692,112.73842445609299,12,0,0,0,0
20,55,21,126,2.241817526674796,2.233312054232271,95.12714931667692,112.73842445609299,12,0,0,0,0
21,55,21,126,2.241817526674796,2.233312054232271,95.12714931667692,112.73842445609299,12,0,0,0,0
22,55,21,127,2.241817526674796,2.233312054232271,95.12714931667692,112.73842445609299,12,0,0,0,0
23,55,21,127,2.241817526674796,2.233312054232271,95.12714931667692,112.73842445609299,12,0,0,0,0
24,56,21,128,2.2277812498310374,2.233312054232271,95.19258918093408,112.73842445609299,13,0,0,0,0
25,56,21,128,2.2277812498310374,2.233312054232271,95.19258918093408,112.73842445609299,13,0,0,0,0
26,56,21,128,2.2277812498310374,2.233312054232271,95.19258918093408,112.73842445609299,13,0,0,0,0
27,56,21,128,2.2277812498310374,2.233312054232271,95.19258918093408,112.73842445609299,13,0,0,0,0
28,56,21,128,2.2277812498310374,2.233312054232271,95.19258918093408,112.73842445609299,13,0,0,0,0
29,56,21,128,2.2277812498310374,2.233312054232271,95.19258918093408,112.73842445609299,13,0,0,0,0
30,56,21,129,2.2277812498310374,2.233312054232271,95.19258918093408,112.73842445609299,13,0,0,0,0
31,56,21,130,2.2277812498310374,2.233312054232271,95.19258918093408,112.73842445609299,13,0,0,0,0
32,56,21,130,2.2277812498310374,2.233312054232271,95.19258918093408,112.73842445609299,13,0,0,0,0
33,56,21,131,2.2277812498310374,2.233312054232271,95.19258918093408,112.73842445609299,13,0,0,0,0
34,56,21,131,2.2277812498310374,2.233312054232271,95.19258918093408,112.73842445609299,13,0,0,0,0
35,56,21,132,2.2277812498310374,2.233312054232271,95.19258918093408,112.73842445609299,13,0,0,0,0
36,56,21,133,2.2277812498310374,2.233312054232271,95.19258918093408,112.73842445609299,13,0,0,0,0
37,56,21,132,2.2277812498310374,2.233312054232271,95.19258918093408,112.73842445609299,13,0,0,0,0
38,56,21,132,2.2277812498310374,2.233312054232271,95.19258918093408,112.73842445609299,13,0,0,0,0
39,56,21,132,2.2277812498310374,2.233312054232271,95.19258918093408,112.73842445609299,13,0,0,0,0
40,56,21,132,2.2277812498310374,2.233312054232271,95.19258918093408,112.73842445609299,13,0,0,0,0
41,56,21,132,2.2277812498310374,2.233312054232271,95.19258918093408,112.73842445609299,13,0,0,0,0
42,56,21,133,2.2277812498310374,2.233312054232271,95.19258918093408,112.73842445609299,13,0,0,0,0
43,56,21,133,2.2277812498310374,2.233312054232271,95.19258918093408,112.73842445609299,13,0,0,0,0
44,56,21,133,2.2277812498310374,2.233312054232271,95.19258918093408,112.73842445609299,13,0,0,0,0
45,56,21,134,2.2277812498310374,2.233312054232271,95.19258918093408,112.73842445609299,13,0,0,0,0
46,56,21,135,2.2277812498310374,2.233312054232271,95.19258918093408,112.73842445609299,13,0,0,0,0
47,56,21,135,2.2277812498310374,2.233312054232271,95.19258918093408,112.73842445609299,13,0,0,0,0
48,56,21,135,2.2277812498310374,2.233312054232271,95.19258918093408,112.73842445609299,13,0,0,0,0
49,56,21,134,2.2277812498310374,2.233312054232271,95.19258918093408,112.73842445609299,13,0,0,0,0
50,56,21,135,2.2277812498310374,2.233312054232271,95.19258918093408,112.73842445609299,13,0,0,0,0
51,56,21,135,2.2277812498310374,2.233312054232271,95.19258918093408,112.73842445609299,13,0,0,0,0
52,56,21,135,2.2277812498310374,2.233312054232271,95.19258918093408,112.73842445609299,13,0,0,0,0
53,56,21,136,2.2277812498310374,2.233312054232271,95.19258918093408,112.73842445609299,13,0,0,0,0
54,56,21,135,2.2277812498310374,2.233312054232271,95.19258918093408,112.73842445609299,13,0,0,0,0
55,56,21,135,2.2277812498310374,2.233312054232271,95.19258918093408,112.73842445609299,13,0,0,0,0
56,56,21,135,2.2277812498310374,2.233312054232271,95.19258918093408,112.73842445609299,13,0,0,0,0
57,56,21,135,2.2277812498310374,2.233312054232271,95.19258918093408,112.73842445609299,13,0,0,0,0
58,56,21,135,2.2277812498310374,2.233312054232271,95.19258918093408,112.73842445609299,13,0,0,0,0
59,56,21,135,2.2277812498310374,2.233312054232271,95.19258918093408,112.73842445609299,13,0,0,0,0
60,56,21,135,2.2277812498310374,2.233312054232271,95.19258918093408,112.73842445609299,13,0,0,0,0
61,56,21,135,2.2277812498310374,2.233312054232271,95.19258918093408,112.73842445609299,13,0,0,0,0
62,56,21,135,2.2277812498310374,2.233312054232271,95.19258918093408,112.73842445609299,13,0,0,0,0
63,56,21,134,2.2277812498310374,2.233312054232271,95.19258918093408,112.73842445609299,13,0,0,0,0
64,56,21,134,2.2277812498310374,2.233312054232271,95.19258918093408,112.73842445609299,13,0,0,0,0
65,56,21,134,2.2277812498310374,2.233312054232271,95.19258918093408,112.73842445609299,13,0,0,0,0
66,56,21,134,2.2277812498310374,2.233312054232271,95.19258918093408,112.73842445609299,13,0,0,0,0
67,56,21,134,2.2277812498310374,2.233312054232271,95.19258918093408,112.73842445609299,13,0,0,0,0
68,56,21,134,2.2277812498310374,2.233312054232271,95.19258918093408,112.73842445609299,13,0,0,0,0
69,56,21,134,2.2277812498310374,2.233312054232271,95.19258918093408,112.73842445609299,13,0,0,0,0
70,56,21,134,2.2277812498310374,2.233312054232271,95.19258918093408,112.73842445609299,13,0,0,0,0
71,56,21,134,2.2277812498310374,2.233312054232271,95.19258918093408,112.73842445609299,13,0,0,0,0
72,56,21,133,2.2277812498310374,2.233312054232271,95.19258918093408,112.73842445609299,13,0,0,0,0
73,56,21,134,2.2277812498310374,2.233312054232271,95.19258918093408,112.73842445609299,13,0,0,0,0
74,56,21,134,2.2277812498310374,2.233312054232271,95.19258918093408,112.73842445609299,13,0,0,0,0
75,56,21,134,2.2277812498310374,2.233312054232271,95.19258918093408,112.73842445609299,13,0,0,0,0
76,56,21,135,2.2277812498310374,2.233312054232271,95.19258918093408,112.73842445609299,13,0,0,0,0
77,56,21,135,2.2277812498310374,2.233312054232271,95.19258918093408,112.73842445609299,13,0,0,0,0
78,56,21,136,2.2277812498310374,2.233312054232271,95.19258918093408,112.73842445609299,13,0,0,0,0
79,58,21,137,2.2305284211888585,2.233312054232271,95.46262468867391,112.73842445609299,15,0,0,0,0
80,58,21,137,2.2305284211888585,2.233312054232271,95.46262468867391,112.73842445609299,15,0,0,0,0
81,58,21,138,2.2305284211888585,2.233312054232271,95.46262468867391,112.73842445609299,15,0,0,0,0
82,58,21,138,2.2305284211888585,2.233312054232271,95.46262468867391,112.73842445609299,15,0,0,0,0
83,58,21,137,2.2305284211888585,2.233312054232271,95.46262468867391,112.73842445609299,15,0,0,0,0
84,58,21,137,2.2305284211888585,2.233312054232271,95.46262468867391,112.73842445609299,15,0,0,0,0
85,58,21,137,2.2305284211888585,2.233312054232271,95.46262468867391,112.73842445609299,15,0,0,0,0
86,58,21,137,2.2305284211888585,2.233312054232271,95.46262468867391,112.73842445609299,15,0,0,0,0
87,58,21,137,2.2305284211888585,2.233312054232271,95.46262468867391,112.73842445609299,15,0,0,0,0
88,58,21,137,2.2305284211888585,2.233312054232271,95.46262468867391,112.73842445609299,15,0,0,0,0
89,58,21,138,2.2305284211888585,2.233312054232271,95.46262468867391,112.73842445609299,15,0,0,0,0
90,58,21,138,2.2305284211888585,2.233312054232271,95.46262468867391,112.73842445609299,15,0,0,0,0
