tick,prey_population,predator_population,resource_count,avg_prey_speed,avg_predator_speed,avg_prey_vision,avg_predator_vision,births_total,deaths_total,predation_total,prey_extinct,predators_extinct
1,58,19,125,2.2291260402527735,2.1644507087503664,92.38998969439535,113.13615516168315,13,0,0,0,0
2,59,19,125,2.212846902513718,2.1644507087503664,92.3087010508899,113.13615516168315,14,0,0,0,0
3,60,19,125,2.231448220875875,2.1644507087503664,92.0262445043024,113.13615516168315,15,0,0,0,0
4,60,19,126,2.231448220875875,2.1644507087503664,92.0262445043024,113.13615516168315,15,0,0,0,0
5,60,19,125,2.231448220875875,2.1644507087503664,92.0262445043024,113.13615516168315,15,0,0,0,0
6,62,19,124,2.223501634894277,2.1644507087503664,91.74985928243773,113.13615516168315,17,0,0,0,0
7,62,19,124,2.223501634894277,2.1644507087503664,91.74985928243773,113.13615516168315,17,0,0,0,0
8,63,19,124,2.228709267319884,2.1644507087503664,91.75124124475343,113.13615516168315,18,0,0,0,0
9,64,19,123,2.230361411392299,2.1644507087503664,91.7230020325656,113.13615516168315,19,0,0,0,0
10,65,19,124,2.235229561300058,2.1644507087503664,91.30324464661543,113.13615516168315,20,0,0,0,0
11,65,19,120,2.235229561300058,2.1644507087503664,91.30324464661543,113.13615516168315,20,0,0,0,0
12,68,19,118,2.257233646434283,2.1644507087503664,91.79537481879167,113.13615516168315,23,0,0,0,0
13,69,19,117,2.2757110619464735,2.1644507087503664,91.72898245339223,113.13615516168315,24,0,0,0,0
14,69,19,116,2.2757110619464735,2.1644507087503664,91.72898245339223,113.13615516168315,24,0,0,0,0
15,70,19,115,2.2851232566126307,2.1644507087503664,91.78785473782891,113.13615516168315,25,0,0,0,0
16,71,19,113,2.277788293439195,2.1644507087503664,91.88623703487254,113.13615516168315,26,0,0,0,0
17,72,19,112,2.2793002976243146,2.1644507087503664,91.63888839797679,113.13615516168315,27,0,0,0,0
18,72,19,110,2.2793002976243146,2.1644507087503664,91.63888839797679,113.13615516168315,27,0,0,0,0
19,72,19,107,2.2793002976243146,2.1644507087503664,91.63888839797679,113.13615516168315,27,0,0,0,0
20,72,19,106,2.2793002976243146,2.1644507087503664,91.63888839797679,113.13615516168315,27,0,0,0,0
21,73,19,107,2.2758041365714314,2.1644507087503664,91.83113488094975,113.13615516168315,28,0,0,0,0
22,74,19,107,2.2708770936829574,2.1644507087503664,92.52292748056784,113.13615516168315,29,0,0,0,0
